text,Sentiment
مش من طبعى انى اكون حزين ومكتئب يعنى بتبقي فترات صغيره كدا وبتعدى لكن حقيقي الفتره دى اول مره احس انى مكتئب بجد ومضايق .. وربنا يهون والله ويعدي الفتره دى علي خير .,1
كم مؤلم أن تنهار من الداخل و تبقى روحاً لا تشعر و لا تُحس و تظل رغم الموت تبتسم للجميع,1
وقعدتنا ف اوضتنا لوحدنا وجع مايفهموش غير اللى جربه,1
وجع القلب عمره مايتوصف بمجرد كلام,1
"كلمتني أمي و قلت لها لا تضغطين علي مكتئبة و قالت "" أكيد ما تصلين الصلاة بوقتها و ما تقرين سورة البقرة البطلة التي لا يقوى عليها السحرة "" في هالبقعة تغرقين و تموتين بإكتئابك لوحدك أو بيخلون سببه ديني بحت.""",1
مؤلم شعور العجز الي اشعره في تحقيق اهدافي,1
تجهزت و لبست و عديت نص الطريق للجامعة و رجعت قلت للسواق رجعني البيت و انسدحت انا و ملابسي و شنطتي,1
وكأن في الروح ثقب تتسرب منه الحياة. هذا هو الاكتئاب..,1
كآبه ..,1
دايما أخاف لمن أكون مرة مكتئبة وفي القاع كلامي يأثر على أحد ويخلي يتراجع في موضوع علاجه من باب شوف دي قد إيه جربت علاجات وأدوية وطرق ولسا عالقة في الاكتئاب!,1
حقيقي تسأل بلا جواب من فين كل دا الحزن يجي! كيف الاكتئاب يولد كل دا الحزن بلا سبب! حزن أشد بمراحل من حزنك على فقد شخص قريب جداً!,1
كل اللي يقولوا لنا فاهمينك وفاهمين إيش حاسين! حقيقي منتو فاهمين حاجة! نحنا بنفسنا منا فاهمين حاجة!,1
وحتى رفع رأسي من وسادتي يُرهقني ..,1
حاسة إني أكره كل شيء في الحياة! شفتوا قد إيه كتب الآحياء مليانة تصانيف لكل شيء، مروراً بالإنسان إلى الكائنات وحيدة الخلية! وحتي العناصر في الجدول الدوري وكل شيء يتكون منها! حتى الفراغ واللاشيء!,1
لا نصحو جيدًا ولا ننام كما ينبغي، نظل في اضطراباتنا وأفكارنا المروعة تلك وبؤر أحزاننا حتى نسقط في الظلام.,1
قلبي موجوع و مختنق لدرجة حاسس بحبل المشنقة على حلقي بيخنقني أنا حاسس إني ميت جوايا مش عارف أوصف قد ايش الألم فضيع لكن أتمنى أرحل بسلام دون أذية أحد، حتى لو الجاي راح يكون أفضل أنا مش راغب حتى فيه,1
سوء الليل هو عباره عن تراكمت الحياه كلها تجتمع وتجي على شكل غمامه سوداء بليل اسود فتلاقي نفسك حزين بدون سبب ، بالرغم انك طول النهار مبسوط وتضحك بس انت عارف انك بترجع لغرفتك بالليل وبتبدأ بدوامة سوداويه حزينه.,1
اسوء مرحله ممكن يمر فيها الانسان مرحلة الاكتئاب يعني م تمر دقيقتين يخس بفرحه الا وتجتاحه رغبه عارمه بالبكاء كذا بدون مقدمات وبدون اسباب.,1
اليوم مزاجي مو طبيعي درجة السوء اللي فيه، افكار سوداوية لا تنتهي او خلونا نسميها واقعية، اتناسى اشياء كثير وانساها فعلا بس فجأة اتذكر كل شيء واعيش حالة حزن مؤقته??,1
يزعل كيف الناس تحبنا واحنا مو قادرين نحب نفسنا,1
شعور مؤلم ان يكون فى عيناك حزن لا يراه احد وفي داخلك كلام لايسمعه احد .,1
متعب من اللاشيء و كل شيء..,1
اولهم انا عايشه في حاله اكتئاب لا يعلم بحالتي الا الله,1
انا محتاجه جبل بحاله تحفيز عشان عندي اكتئاب بقاله سنتين وهقوم اقتل نقسي حالاً واشيّل الكون مسؤليه حُزني,1
مضايقني اني مبقاش عندي اهتمام بتكملة الحياة,1
اجلس أُعد خيباتي أتسائل لماذا حدث كل هذا مازالت الاحداث تتوالي الا يوجد فاصلا أستريح فيه  لا أريد فاصلا سعيدا أريد فاصلا بدون خيبات  بدون نوبات اكتئاب مفاجئه بدون كلمات أمي القاسيه بدون افكاري المؤذيه فقط دقيقه بدون ذاكره,1
لا شيء يؤذي الروح أكثر من بقائها في أماكن لا تنتمي إليها ??  لسان حال إكتئاب ما بعد السفر..,1
مسلسلي مخلص من شهرين و للحين فيني اكتئاب ??,1
انا عارف ان اصعب احساس يعدي ع الشخص هو ان يحس نفسه عايش من أجل اللاشئ فبالتالي كل يوم يجي ينام يقول يعني هو ايه الي ف بكره مُهم عشان اصحاله فممكن يدخل نفسه ف موجات اكتئاب حقيقيه ويتمني انه يختفي ميبقاش موجود اصلاً ,1
هذا الصيف كان من اكثر الاشهر همّ وأحس ان نفسيتي كانت من سيء الى اسوأ. من جون الى اكتوبر وأني في دوامة اكتئاب والحمدلله الحين احس نفسي اخيرًا طلعت منها وشفت نهايتها.,1
اولا صباح الخير ع الجميع ثانيا العالم مكان كئيب وحزين وميستاهلش الواحد يعيش فيه اصلا ثالثا اكتئاب الانسان متوقف على الناس او الظروف اللي حواليه مش حبا منه ف النكد يعني,1
كل يوم استيقظ من نومي ولااستطيع ممارسة عملي بشكل سليم ولاحتى عيش حياتي كما اريد ?? اعوام كل يوم فيها اشعر بالعجز  بالضعف والوحدة والخوف من يوم جديد  فالإكتئاب قتل نفسي وروحي,1
مساء الخير احبتي اتخذت قرار تقريبا عن قناعة والمهم ان عواقبه لن تضر غيري قررت انهي حياتي التي اعاني فيها منذ ?? اعوام خلال ال?? اعوام مريت بلحظات صعبة قتلت روحي لكن الخوف الان من طريقة التنفيذ  ماهي افضل واضمن طريقة للانتحار,1
وحدك يالله تعلم أني غدوتُ ركاماً غدوتُ حطاماً غدوتُ سهاماً تناثرت تحت الأقدام بعد معركة روحٍ قُهرت حتى ذبُلت خُذني إليك يالله  خذني بلطفك فلم يعد بالعمر متسعاً من الوجع,1
يوجع شعور أنك تتضايق من أشياء و مو قادر تتكلم أشياء تخليك تتحول إنسان ثاني أشياء مع الوقت ما تنحكي أشياء تتحول لنغزات قلب توجع لنوم طوويل لِقلة كلام وسدة نفس عن كُل شيء.,1
ابي اموووت والانتحار حرام اي شسوي طيب,1
أسوأ الفترات حزنًا هي التي يكون فيها حزنك بينك وبين روحك فقط، لا أحد يعلم مافي داخلك لأنك لم تبُح.. فيظنّون أنك في نعيمٍ من أمرك ويُلقون عليك أشياءً لا تطيقها .!,1
تجي اوقات تكون فيها مضغوط لدرجة انو في اي لحظة رح تنفجر حتى لأتفه الاسباب,1
اسوء انواع الحروب هيا الحرب اللي  بين نفسك وافكارك مشاعرك والواقع,1
لم يعُد لدي الرغبة في وصف ما بداخلي لأحد,1
لم أعد أمتلك الرغبة في المحاولة، ليس لأني لم أعد مهتمًا لكنني لا أرغب بالمزيد فحسب، لا أحد يعرف كم قاومت وأنا محترقٌ بجحيم هائل داخلي,1
يا الله، هذا الحُزن ثقيل جداً على روحي,1
أنا مُتعب. هذا كل ما أستطيع أن أشرحه لك,1
ليتني أستطيع وصف كل ما بِداخلي,1
ومن سيُصدُّقُ أن حروباً تدور داخلك وأنَّ بصدرك مُدُناً انهارتْ بأكملها  وأنت لا زلتَ واقفًا على قدميك !,1
لن أنسى أبدًا أننى أخوض هذه الأيام وحدى,1
وصلت لمرحله كآبه لدرجه اني ودي اقول لنفسي خلاص تكفين ارجعي طبيعيه??..,1
كل المؤاشرات احسها تبين لي إني بدخل مرحلة تشير الي كآبة او دخول مرحلة اكتئاب تراودني فكرة العزله عن العالم مو طابع لي,1
كآبة اليوم لا توصف (:,1
أنا لم أتعرض في حياتي أبداً لمثل هذا اليأس الفتاك كآبة قاتمة تمتص قلبي في الليل كوابيس و في المنام صيحات وحشرجة في الحنجرة تكاد تخنقني والدموع تستعصي تارة وتنهمر مدراراً تارة أخرى,1
أنا فارغ جدا، لا أشعر بشيء على الإطلاق، الوقت لا يمر، الأيام متشابهة، الظلمة تحيط بي من كل جانب، وجهي بلا ملامح، فمي مطبق، ليس هناك شيء بمقدوره إنقاذي.,1
لا أَحد يَعلم كَم من النزاعات تَحدث ب?داخلك يَومياً وكم يُكلفك الأمر لتبدو بِخير,1
من المؤسف أن يكون هذا العالم متسع لكل شيء إلا لأنفاسك,1
مُرهق من كل شيء ، أنا لستُ بخير ابداً.,1
ليتني أستطيع وصف كل ما بِداخلي.,1
مش كل اللي بنحس بيه ينفع يتحكي والله.,1
اخشي ان هذا الحزن سوف يدوم !,1
انا معملتش حاجه وحشه تستاهل كل اللي بيحصلي في حياتي ده.,1
جاني اكتئاب و شعور مقرف ????????,1
???? بعد شهرين ولسا في مخلوقات تربط الاكتئاب بقله الايمان وقله الدين صداع من قله العقل والوعي,1
حقيقي اليومم مو راضي يتعاون معايا والموضوع مره مزعلني,1
اسألكم بالله ماتخلوني بموت مليت من الوحده والظروف ودي اتوظف واتعالج ودي اعيش حياه كريمه تكفون لا تخلوني لو برتويت والله اني في امس الحاجه للوظيفه??,1
الأهل هم سبب الأكتئاب احياناً.,1
يضايق لمه ما تدري تتكلم لمن.   لمه تحتاج تتكلم وما تلقى احد .. وقت الي تكون انت ملجئ لكل الناس بس ما تلقى احد توثق فيه من كل الي حولك وحتى لو كانو كثار ..,1
أنت من سببت حزني وجرحي والدموع,1
كيف تبغيني أسامحك ، وأعود عليك ؟!,1
تركت لي وجعا يكفيني مائة سنة ، أي كرم هذا ..,1
"كنت اتمني ألاقي حد أحكيله من غير حواجز ، كأني بكلم نفسي """"",1
ظننتُ انهم سيلاحظون غيابي، لكني اكتشفت انهم لم يلحظوه بالعكس لقد ايقنت اني كنت فقط مجرد كتاب قديم ملقي ب اهمال ف مكتبه لا يعلم عنها احد ولم يلحظوا وجودها مسبقا:(,1
لا اصدقاء ، لا حب ، انا فقط اهتم لنفسي ، انا استحق اكثر??,1
من المؤلم ان تتصنع التجاهل .. وقلبك يتألم بصمت,1
اتعلمت اضحك الضحكة المزيفة مع الناس الجاهلة بحزني,1
شعور انك ف يوم هتموت وترتاح من الحياة دي ??? اجمل احساس فالدنيا,1
اصعب احساس ف الحياة انك تكون عايز تعيط من حزنك والدمعه مش راضية تنزل,1
إياك ان تسخر من مشاعر شخص تألم بما فيه الكفاية حتى أصبح بارد المظهر ، فأنت لا تعلم كيف يكون بكاء قلوب الصامتين,1
عليك ان تعلم انه ليس كل من يتنفس على قيد الحياة,1
شعور مؤلم ان تنام كل ليلة وفى عيناك حزن لا يراه احد وفي داخلك كلام لايسمعه احد .,1
لقد اعتدنا على الأذى ، ما عاد ضرر الشعور يُبكينا ,1
وماذا عن قلب لم يعد يشتهي شيئاً,1
لقد أصبحنا نعيش حياة ، لا ننتظر فيها أي شيء من الآخرين,1
سيأتي عليك حين من الوحدة كأن الكون خالي من البشر و أنت آخر نسلك,1
??:?? مخدتي لها النصيب الأكبر من الدمووووع.,1
الأمر أشبه بأن ينتهي شغفك فجأة ، أن يتساوى بنظرك كل شيء، كل شيء دون إستثناء، لن يصبح باستطاعتك سوى النوم و مراقبة ما يحدث دون ردة فعل تُذكر,1
غير قادر الإنضباط و المداومة على الإستيقاظ كل صباح للذهاب إلى بيئة تحدها العديد من الأنظمة و الضوابط و المتطلبات  صحتي النفسية بالكاد تخولني للإنتهاء من اليوم و أنا ما زلت على قيد الحياة الأمر فاق طاقتي على التحمل,1
أشعر أني أعاني وحدي و يحكم علي في هذه البيئة بأني مهمل، كسول، غير مبالي أحاول المحافظة على كل شيء من التداعي خارجي و أنا أتداعى بداخلي  و أعلم أن قراري خاطئ، ولكني لا أملك الطاقة للقرار الصحيح ولا أشعر بالمساندة الكافية أنا وحيد في هذا كله,1
لقد تصورت يوم رحيلي مراراً و تكراراً أكثر مما عشت في حياتي.. رغبةً أو خلاصاً، أياً يكن فليأتي مسرعاً فقد طال الإنتظار و الصبر بدأ بالنفاد,1
لا احد يعلم عن معاناتي شئ ،انا وحدي من يعلم..!,1
فقط تشعر بإنك هزيل القلب لَم يَعُد بـ إمكانك مُقاومة حُزنك مره أخري.,1
الفوضى اللي في دماغي وصلت لقلبي وصدقني الوضع هنا لا يحتمل أبدًا.,1
أنا كَان نِفسّي أكون بِخير زي ما بَقول..!,1
"ولا عارفة أوصِف مشاعري ولا عارفة أخرّج اللي جوايا ولا عارفة ايه هو حالي !""""""",1
لستُ حزينًا ولستُ سعيدًا ، أنا في المرحلة الأصعب ، أنا لا أشعُر بشئٍ أبدًا.,1
أسوأ الفترات هي التي يكون فيها حزنك بينك وبين روحك لا أحد يعلم ما في داخلك لأنك لم تُبح ويحسب أنك في نعيم من أمرك ويلقى عليك شيء لا تطيقه.,1
في مرحلة ما ستصبح غرفتك المظلمه هي العالم كله..,1
لا أحد يعلم ما أصابك، لا أحد يعلم كيف هيَ معركتك الخاصة!,1
أَنتَ أَصغرُ مِن أَنّ تتحملَ هذا الضغطَ الهائِل مِن الكونِ وحدك ، وأكبرُ مِن أنّ تعودَ باكياً لِوالديك.,1
مكتوم لدرجه مو قادر انام.,1
"احس الحين باسوا احساس ممكن احس فيه،  ومو فاضيتله لاني ابغا اذاكر ؛))""",1
إحساس جسدك مو سايع روحك,1
حاسة روحي كأنها كلها متكومة في طرف جسمي الأيسر ومخليته تقيل وما أقدر أحركه,1
متى يموت الاكتئاب؟,1
متى أموت أنا؟,1
ساعات تفكر ممكن الحياة ما تليق بك!,1
الأمر أشبه بخنق أحدهم ومطالبته بالتنفس في آنٍ واحد,1
الاكتئاب حربك لوحدك,1
كل مرة أحد يموت أزداد حزن إنه مو أنا,1
انا جدا محطمه,1
ليه كذا الحياه ما تخلينا نكون سعيدين لو شوي!!!,1
صح فيني اكتئاب بس مو محتاجه اهتمام من احد لان حتى الاهتمام يجيب الاكتئاب,1
اكره الحياه والي فيه,1
أحياناً نموت من فرط رغبتنا فالحياة مثال ??#الانتحار??,1
احب اقول انا بخير عشان ما احسس احد اني عبا او اني اخليه عاجز.,1
لو اخذتم ذراعي وابتعد عني الاكتئاب لرضيت بذلك.,1
"حابه اكون لوحدي ابكي لوحدي اتضايق لوحدي ""انتكس لوحدي "" احس اني وحيده لوحدي ولا اقول كل معاناتي وكلام طويل لشخص غريب لان هالشي ما يفيدني ابدا.""",1
الإكتئاب شنيع قبيح مؤلم… وفاة صديقتي وأخي واختي والكثير لم يكن بمقدار الألم الذي شعرت به عندما اشعر بالاكتئاب ولكنه يجعلني أسوأ مع كل أمر محزن انه سيء.,1
ما اعرف كيف ما بكيت الايام الي فقدتهم فيه ما كنت احس بشي غير الاكتئاب الي كان ياكلني اكل وافكار الانتحار الي رافقتني,1
"حياتي مع الاكتئاب اتألم ولكن لا ابكي وعند محاولتي بالانتحار يضحك الجميع او يقوم باخباري كم انا فاشله وسيئة لأنني حاولت الانتحار ""لا تعلم مقدار الألم الذي اشعر به ارجوك لا تتحدث وكأنك تفهم ما اقصد انت لا تعلم سوا أنني مصابه بالاكتئاب",1
كونك ما جربت يكون فيك اكتئاب و تعتزل عن العالم والناس الي حولك لا تحكم على الشخص دامك ما جربت الاكتئاب لان شي يصعب شرحه بس رح يفهم كلامي كل شخص عانا منه.,1
قلبي يعورني,1
"حرفيا ""يوم سي جدا""""",1
"حرفيا! أسوأ شي في الاكتئاب : ""محد يفهمك""""",1
شنيع الاكتئاب ??,1
مالي نفس أكل حتى الأكل الحلو الي انا احبه صار مالي خلق اذوقه ليه كذا!!,1
ليه احس اني وحيده ??,1
"راسي وجسمي وكل شي فيني جالس يعورني ""كل شي حرفيا""""",1
ابغى امووت لان مافي شي يستاهل اعيش عشاااااانه,1
ولاني اكره نفسي وأكره الاكتئاب,1
وأكره الدنيا والي فيه والي حولي بالذات…,1
امي تعرف اني حاولت الانتحار بس ما ادري ليه مو جالسه تعطي الموضوع أهميه!,1
انا منبوذه مصابه بالاكتئاب سلبيه تنشر الطاقه السلبيه في كل مكان اهربو بعيدا عني نعم لطالما تخشون أولئك الصنف من الأشخاص!,1
انا محطمه تماماااا,1
اشياء غريبه هاليوم صايره ما اعرف  بس شعوري متخلبط غضب ولا حزن ولا عدم قناعه ولا اكتئاب!!,1
ليش انا فقدت الشغف واستلمت لاني حاولت كثير اني احقق الي ابيه بات كل شي بالفشل قلت لنفسي خليني اكمل دراستي واحقق حلمي حاليا انا ما كملت دراستي انا اكره حياتي لاني كل ما حاولت انجز شي او أمارس شغفي افشل انا يأست ,1
انا مدمر الى اشلاء…  كلما اتذكر ذلك وكلما اشعر بذلك وكلما اشاهد الاخرين يبتعدون عني لأسباب لا اعلم ما هي ربما لأن لا احد يحبني!، هذه ليس شعور جيد أبدا ولكن لا استطيع ان اجعل كل هذه الحزن يبتعد عني ويذهب بعيدا لا أستطيع البكاء أنه لا يريد أن يخرج,1
عن أي حياة تتحدثون ونحن بهذه الاعمار أصبنا بالاكتئاب,1
علاج اكتئابي او الشي الي يخليني اتحسن هو الإنجاز… احس يوم أنجز اكون فخوره بنفسي,1
لم يعد يهمني اي شي لم تعد لي رغبه بفعل اي شي,1
اكره الي يعاتبني لاني سلبية لاني ما اخترت اني اكون سلبية,1
أصبحت منطفئة تماما احاول جاهدة ان استجمع طاقتي في كل شي فقدت شغفي للحياة اعلم انه لا مفر و لكنى احاول جاهدة الا اسقط اعلم انها ليست نهاية العالم ان افقد طاقتي و لكن أهذه نهاية عالمي انا ؟!,1
اشعر بانني فاشله وليس لدي اي قيمة في الحياة ورغبتي في الموت تتزايد الانتحار ليس رائع ولكن هذه فكره ترافقني طوال الوقت…,1
احس اني مخنوقه,1
احس اني مو قادره استحمل,1
إنك لن تفهم أبداً ماذا يعني أن يفعل المرء كل ما في وسعه دون جدوى,1
لسنا بخير لأننا ننفق كل جهودنا لنبدو بخير وليس لنكون بخير,1
على المرء أن يبقى مشغولاً، للحد الذي يلهيه عن تعاسته,1
استيقط كل يوم وحمل كبير على صدري   شعور عائم بالفراغ الموحش   اللحظه الوحيده اللي يختفي فيها كل هذا هو عند النوم الذي لا يستمر طويل هو الاخر .,1
الأيام الماضية كانت ثقيلة جداً، حاولت المكابرة لكن إنتهى بي الأمر بالانهيار، توقفت عن النوم وتناول الطعام، أنا بخير وقادمة بقوة للحياة، وصباح الخير,1
أخاف العتمة يارب..,1
"محبطة ""كحمامة"" فقدت جناحيها..!""",1
كومة من العقد تخلفها العلاقات الغير ناجحه، والكثير من اليأس ينتج من المحيط البائس، وجراح لن تلتئم تركها أولئك الذين منحناهم الثقة ومنحونا الخذلان..,1
مصابه باكتئاب حاد أصبحت الحياة اليومية صراع للبقاء . ,1
مصابة باكتئاب شديد,1
ذحين صدق كثرت الكِتمان يسبب إكتئاب؟!,1
كل اللي كنت احبهم يوم كنت تينيجر صابهم اكتئاب وانتحرو  شكلها مؤشرات تنبيه لي,1
مكتئبة لدرجة أحس الإكتئاب يعصر لي أمعائي.,1
ابوي لما عرف ان الدكتور شخصني كمريضة اكتئاب جا لي يهاوشني ليه انا مكتئبة بعدين جلس يقول لي لازم تصلين وتسبحين وتهللين بعدين سكت شوي وجلس يهاوشني ليه انمرض بالاصل ...,1
انا مش كئيبه ، انا مكتئبه,1
اتمنى لو كنت انانيه لاني لو مع انانيتي ماصرن مكتئبه,1
انا مش كئيب انا مكتئب,1
أعيش حياتي بائس مكتئب فلا أنا بعيد كل البعد ولا أنا بداخلهم كما لو كنت علي الحافة,1
وحيدٌ ومُهمل، كَ ملاك حزين,1
أهلًا تويتر أنا مكتئب,1
"فكرة انى مكتئب او زعلان جوايا؛بس انت شايف انى بضحك وعادى ده علشان انا عايزك تشوف كده وبس،انا مهما قولت مش هتفهمنى ولا تساعدنى بحاجه..""",1
انا لست بخير..اريد البكاء..,1
مُرهقه من كل شيء ، انا لست بخير ابدًا,1
مُرهق من كل شئ ، انا لست بخير ابدا.,1
أنـا لـسـت بـخـيـر هـنـا? ضـيـق بـصـدري و دمــع يـقـف عـلــى اطــراف عيـنــي حـتـى قـلـبـي يـؤلـمـنــي جـدا ,1
أنا حزينٌ للغاية ، لا أستطيعُ البكاء.,1
الوضع هنا حزين للغايه,1
تقريباً عيني فيها دموع اكثر من اللازم ومستعدة للسقوط حال,1
أسوأ مرحلة ممكن تُمر فيها،مرحلة تكون مشاعرك فيها ساده وايامك باهتة لا مستانس ولا زعلان، تكون متقبل كل شيء ببرود ومو فارقه معاك مين يروح ومين يجي تكون مستني شي اقرب للوهم وعالق ف النص من كل شيء، مرحلة صعب تشرح فيها شعورك,1
اُركُض، الظلام دَامِس هُنا .,1
ماذا نفعل؟ نحن الذين لم يبق لنا كتف في هذه الحياة؟,1
مالي خلقي اليوم، ما ودي فيني!,1
تطور اليوم كان من سيء إلى أسوأ.,1
بين مقاومة ومُحاولات، أعيش.,1
ظلام دامس .. دمعه حائره ..  مستقبل مجهول .. وحده .. وددت أن أنام طويلاً للأبد دون استيقاظ ..,1
لما اعد قادرة علي الحياة لقد سئمت العيش هنا هل تسمعني يا الله؟ انا لا اعترض علي قضائك و لكنني لم اعد احتمل.. هذا يكفي العالم أصبح ضيقا جدا  اكاد ان اختنق من شدة الضيق اريد ان ارتاح اخلد إلي النوم ولا استيقظ مجدداً  لا استيقظ أبداً..,1
لست بخير ، لم يكُن الأمر علي ما يرام منذ فترة طويلة .. طويلة جداً .,1
كم هي قاسيه تلك اللحظات  والتي تكون فيها تعاني الماً ولا تجد من تشكي له الحال  لتشعره انك لست بخير,1
"محبطه لأنه ماعندي شخص اروح له وأقول ""أنا مستاءة"" بكل أريحيه.""",1
